CASE,SVC_MEAN,SVC_STD,RF_MEAN,RF_STD,KNN_MEAN,KNN_STD,GLOBAL_MEAN,GLOBAL_STD
UML_DUMMY_SIGN_TN_BDLIME,0.414,0.15110368371526628,0.606,0.14057601559873634,0.34,0.18531981638085646,0.45333333333333337,0.13729287429919051
UML_DUMMY_RANKSIGN_TN_BDLIME,0.092,0.1116270847984756,0.11,0.1592279352172079,0.05200000000000001,0.10098504739801728,0.08466666666666667,0.02968725877094975
UML_DUMMY_TOP_TN_LIMESHAP,0.45600000000000007,0.17541869105576285,0.6519999999999999,0.13217680231684786,0.48400000000000004,0.16374407229613297,0.5306666666666667,0.10600628912160502
UML_DUMMY_RANK_TN_LIMESHAP,0.12399999999999997,0.16521794604996667,0.18400000000000002,0.1942194946991988,0.122,0.14742229591663988,0.14333333333333334,0.03523256069793019
UML_DUMMY_SIGN_TN_LIMESHAP,0.4480000000000001,0.18005610797804672,0.6479999999999998,0.13369647517697494,0.46800000000000014,0.1710809366022026,0.5213333333333333,0.11015141094572185
UML_DUMMY_RANKSIGN_TN_LIMESHAP,0.12399999999999997,0.16521794604996667,0.182,0.19299866540596813,0.122,0.14742229591663988,0.14266666666666664,0.03407834111768549
UML_DUMMY_TOP_FP_BDSHAP,0.76,0.08944271909999162,0.8400000000000001,0.08944271909999157,0.64,0.16733200530681513,0.7466666666666667,0.10066445913694336
UML_DUMMY_RANK_FP_BDSHAP,0.2,0.2,0.2,0.14142135623730953,0.24,0.2607680962081059,0.21333333333333335,0.023094010767585018
UML_DUMMY_SIGN_FP_BDSHAP,0.76,0.08944271909999162,0.8400000000000001,0.08944271909999157,0.64,0.16733200530681513,0.7466666666666667,0.10066445913694336
UML_DUMMY_RANKSIGN_FP_BDSHAP,0.2,0.2,0.2,0.14142135623730953,0.24,0.2607680962081059,0.21333333333333335,0.023094010767585018
UML_DUMMY_TOP_FP_BDLIME,0.43999999999999995,0.08944271909999157,0.5599999999999999,0.08944271909999157,0.39999999999999997,0.1414213562373095,0.4666666666666666,0.0832666399786453
UML_DUMMY_RANK_FP_BDLIME,0.12000000000000002,0.1788854381999832,0.16,0.16733200530681513,0.12000000000000002,0.1788854381999832,0.13333333333333333,0.023094010767585018
UML_DUMMY_SIGN_FP_BDLIME,0.43999999999999995,0.08944271909999157,0.4,0.1414213562373095,0.31999999999999995,0.17888543819998315,0.38666666666666666,0.06110100926607787
UML_DUMMY_RANKSIGN_FP_BDLIME,0.12000000000000002,0.1788854381999832,0.12000000000000002,0.10954451150103323,0.12000000000000002,0.1788854381999832,0.12000000000000004,1.6996749443881478e-17
UML_DUMMY_TOP_FP_LIMESHAP,0.36,0.1673320053068151,0.6,0.2,0.4,0.0,0.4533333333333333,0.12858201014657272
UML_DUMMY_RANK_FP_LIMESHAP,0.16,0.08944271909999159,0.2,0.14142135623730953,0.2,0.14142135623730953,0.18666666666666668,0.023094010767585032
UML_DUMMY_SIGN_FP_LIMESHAP,0.36,0.1673320053068151,0.44000000000000006,0.16733200530681508,0.36,0.08944271909999159,0.3866666666666667,0.046188021535170105
UML_DUMMY_RANKSIGN_FP_LIMESHAP,0.16,0.08944271909999159,0.2,0.14142135623730953,0.2,0.14142135623730953,0.18666666666666668,0.023094010767585032
UML_DUMMY_TOP_FN_BDSHAP,0.7680000000000001,0.11075498483890768,0.944,0.09165151389911678,0.7120000000000001,0.15362291495737215,0.8080000000000002,0.12106196760337237
UML_DUMMY_RANK_FN_BDSHAP,0.28,0.15275252316519466,0.248,0.24000000000000002,0.18400000000000005,0.11430952132988166,0.23733333333333337,0.04888080741286228
UML_DUMMY_SIGN_FN_BDSHAP,0.752,0.1194431524477928,0.944,0.09165151389911678,0.696,0.1645195023900409,0.7973333333333333,0.13006664958141012
UML_DUMMY_RANKSIGN_FN_BDSHAP,0.28,0.15275252316519466,0.248,0.24000000000000002,0.17600000000000005,0.12000000000000001,0.2346666666666667,0.05326662494783513
UML_DUMMY_TOP_FN_BDLIME,0.31200000000000006,0.13012814197295422,0.632,0.09451631252505219,0.5519999999999999,0.1446835627614047,0.49866666666666665,0.1665332799572906
UML_DUMMY_RANK_FN_BDLIME,0.032,0.07483314773547883,0.264,0.17048949136725897,0.09600000000000002,0.15405626677721793,0.13066666666666668,0.11982209033952519
UML_DUMMY_SIGN_FN_BDLIME,0.29600000000000004,0.13063945294843615,0.624,0.10519822558706335,0.44800000000000006,0.1446835627614047,0.456,0.1641462762294655
UML_DUMMY_RANKSIGN_FN_BDLIME,0.032,0.07483314773547883,0.264,0.17048949136725897,0.08800000000000001,0.15362291495737218,0.12800000000000003,0.12106196760337246
UML_DUMMY_TOP_FN_LIMESHAP,0.32800000000000007,0.12754084313139327,0.616,0.09865765724632496,0.48800000000000004,0.13012814197295422,0.4773333333333334,0.14429599209033256
UML_DUMMY_RANK_FN_LIMESHAP,0.064,0.11135528725660043,0.19200000000000003,0.21197484127446195,0.168,0.13759844960366863,0.14133333333333334,0.06803920438492307
UML_DUMMY_SIGN_FN_LIMESHAP,0.32800000000000007,0.12754084313139327,0.6080000000000001,0.10770329614269009,0.48800000000000004,0.13012814197295422,0.47466666666666674,0.14047538337136986
UML_DUMMY_RANKSIGN_FN_LIMESHAP,0.064,0.11135528725660043,0.19200000000000003,0.21197484127446195,0.168,0.13759844960366863,0.14133333333333334,0.06803920438492307
ECORE_MULTICLASS_TOP_Metamodelling_BDSHAP,0.5227272727272726,0.19552787191667836,0.6818181818181818,0.20275295815103317,0.49999999999999994,0.22157528570475116,0.5681818181818181,0.09906588508046987
ECORE_MULTICLASS_RANK_Metamodelling_BDSHAP,0.3106060606060606,0.23180816350003125,0.22727272727272732,0.15705176606264812,0.08333333333333334,0.14600626513052217,0.2070707070707071,0.11497527714982031
ECORE_MULTICLASS_SIGN_Metamodelling_BDSHAP,0.48484848484848475,0.18263850649438215,0.6287878787878788,0.19311012363327662,0.4924242424242424,0.20944909113170798,0.5353535353535354,0.0810051259209366
ECORE_MULTICLASS_RANKSIGN_Metamodelling_BDSHAP,0.2878787878787879,0.22263293031006195,0.22727272727272732,0.15705176606264812,0.07575757575757576,0.14130503526190707,0.19696969696969702,0.10925912955951483
ECORE_MULTICLASS_TOP_Metamodelling_BDLIME,0.26515151515151514,0.21056765230965868,0.5454545454545454,0.21675202958745168,0.3257575757575758,0.20944909113170798,0.37878787878787873,0.1474842601055438
ECORE_MULTICLASS_RANK_Metamodelling_BDLIME,0.0,0.0,0.11363636363636363,0.18942564921295896,0.053030303030303025,0.12332980967482274,0.05555555555555555,0.05686025378382678
ECORE_MULTICLASS_SIGN_Metamodelling_BDLIME,0.24242424242424246,0.18134775882595205,0.48484848484848475,0.2210445656954514,0.25757575757575757,0.17407765595569782,0.32828282828282823,0.13580130969443177
ECORE_MULTICLASS_RANKSIGN_Metamodelling_BDLIME,0.0,0.0,0.0909090909090909,0.15017021115565554,0.053030303030303025,0.12332980967482274,0.047979797979797977,0.04566449828289172
ECORE_MULTICLASS_TOP_Metamodelling_LIMESHAP,0.5303030303030304,0.1657834242715885,0.7651515151515151,0.22250099967310724,0.5984848484848485,0.1538405069345467,0.6313131313131314,0.12081690620106748
ECORE_MULTICLASS_RANK_Metamodelling_LIMESHAP,0.18939393939393936,0.18183286292618897,0.0909090909090909,0.18134775882595205,0.09848484848484848,0.1538405069345467,0.12626262626262627,0.05480437983386541
ECORE_MULTICLASS_SIGN_Metamodelling_LIMESHAP,0.5303030303030304,0.1657834242715885,0.6212121212121211,0.33403731159020833,0.5757575757575757,0.18134775882595208,0.5757575757575757,0.04545454545454536
ECORE_MULTICLASS_RANKSIGN_Metamodelling_LIMESHAP,0.18939393939393936,0.18183286292618897,0.0909090909090909,0.18134775882595205,0.0909090909090909,0.15017021115565554,0.12373737373737372,0.05686025378382677
ECORE_MULTICLASS_TOP_Modelling_BDSHAP,0.6607142857142857,0.17397400744638628,0.8333333333333333,0.1797866299901979,0.5595238095238095,0.1918242341221171,0.6845238095238096,0.13844884940015478
ECORE_MULTICLASS_RANK_Modelling_BDSHAP,0.375,0.22973414586817034,0.6726190476190476,0.32716147700276704,0.494047619047619,0.1905979048351826,0.5138888888888888,0.14979830228711802
ECORE_MULTICLASS_SIGN_Modelling_BDSHAP,0.6488095238095237,0.17314258568692736,0.8095238095238094,0.21887815767601826,0.5535714285714286,0.1936025890373434,0.6706349206349206,0.12936447073573834
ECORE_MULTICLASS_RANKSIGN_Modelling_BDSHAP,0.369047619047619,0.21722372611238205,0.6488095238095237,0.3388610922293084,0.4880952380952381,0.1903137835768503,0.501984126984127,0.14039713944709908
ECORE_MULTICLASS_TOP_Modelling_BDLIME,0.23809523809523808,0.23539595453459988,0.5059523809523808,0.16806770435379084,0.5238095238095238,0.1781741612749496,0.4226190476190476,0.1600515435684375
ECORE_MULTICLASS_RANK_Modelling_BDLIME,0.09523809523809522,0.16470709495473204,0.041666666666666664,0.11123730207865241,0.23809523809523808,0.15194743527951726,0.125,0.10154001255495228
ECORE_MULTICLASS_SIGN_Modelling_BDLIME,0.20833333333333331,0.20658356100321165,0.46428571428571425,0.18725633517970774,0.375,0.12811768579763455,0.34920634920634913,0.12991108361008613
ECORE_MULTICLASS_RANKSIGN_Modelling_BDLIME,0.07142857142857142,0.15194743527951726,0.03571428571428571,0.10403129732205987,0.23809523809523808,0.15194743527951726,0.11507936507936507,0.10802109197473174
ECORE_MULTICLASS_TOP_Modelling_LIMESHAP,0.34523809523809523,0.06241877839323592,0.5654761904761905,0.16720691659782785,0.5833333333333333,0.23137708083419486,0.498015873015873,0.1326103556468805
ECORE_MULTICLASS_RANK_Modelling_LIMESHAP,0.07142857142857142,0.13801311186847084,0.047619047619047616,0.13376553327826227,0.2738095238095238,0.2470606424320981,0.13095238095238093,0.12428936320131606
ECORE_MULTICLASS_SIGN_Modelling_LIMESHAP,0.34523809523809523,0.06241877839323592,0.5059523809523808,0.1905979048351826,0.3988095238095238,0.14797819737227133,0.4166666666666666,0.08183170883849707
ECORE_MULTICLASS_RANKSIGN_Modelling_LIMESHAP,0.07142857142857142,0.13801311186847084,0.041666666666666664,0.12811768579763455,0.21428571428571427,0.17324673161254736,0.10912698412698411,0.09227790439867845
ECORE_MULTICLASS_TOP_Workflow_BDSHAP,0.5652173913043478,0.29189008946906553,0.7391304347826086,0.1405803892788833,0.7681159420289854,0.1568239896323216,0.6908212560386473,0.10973735933913568
ECORE_MULTICLASS_RANK_Workflow_BDSHAP,0.28985507246376807,0.20851441405707477,0.18840579710144925,0.22079029212395004,0.44927536231884063,0.29488391230979427,0.30917874396135264,0.1315039380561952
ECORE_MULTICLASS_SIGN_Workflow_BDSHAP,0.5217391304347825,0.29858398064902875,0.7391304347826086,0.1405803892788833,0.6956521739130432,0.13900960937138318,0.6521739130434782,0.11503266569846046
ECORE_MULTICLASS_RANKSIGN_Workflow_BDSHAP,0.26086956521739124,0.22375405281878732,0.18840579710144925,0.22079029212395004,0.391304347826087,0.3430724797974599,0.2801932367149758,0.10282027368982014
ECORE_MULTICLASS_TOP_Workflow_BDLIME,0.6086956521739131,0.23894071605383196,0.5217391304347825,0.16895660062323395,0.3478260869565217,0.15821800806613742,0.49275362318840576,0.13282828101321278
ECORE_MULTICLASS_RANK_Workflow_BDLIME,0.14492753623188406,0.16895660062323395,0.3188405797101449,0.21268511531942363,0.13043478260869565,0.16633695978261515,0.19806763285024154,0.10484316142130774
ECORE_MULTICLASS_SIGN_Workflow_BDLIME,0.5942028985507246,0.2452893928685926,0.43478260869565216,0.2116501451126805,0.26086956521739124,0.1999121458336701,0.429951690821256,0.1667191683742744
ECORE_MULTICLASS_RANKSIGN_Workflow_BDLIME,0.14492753623188406,0.16895660062323395,0.23188405797101444,0.15682398963232158,0.13043478260869565,0.16633695978261515,0.1690821256038647,0.054868679669567835
ECORE_MULTICLASS_TOP_Workflow_LIMESHAP,0.4782608695652173,0.19658927487319616,0.6956521739130433,0.17153623989873001,0.391304347826087,0.12918446262719663,0.5217391304347826,0.15676309893321685
ECORE_MULTICLASS_RANK_Workflow_LIMESHAP,0.13043478260869568,0.19434246651396966,0.21739130434782605,0.25836892525439326,0.10144927536231883,0.15682398963232158,0.1497584541062802,0.0603381449120618
ECORE_MULTICLASS_SIGN_Workflow_LIMESHAP,0.4782608695652173,0.19658927487319616,0.608695652173913,0.27801921874276636,0.33333333333333326,0.20100756305184242,0.4734299516908212,0.1377447094626401
ECORE_MULTICLASS_RANKSIGN_Workflow_LIMESHAP,0.13043478260869568,0.19434246651396966,0.13043478260869565,0.21879214883478684,0.10144927536231883,0.15682398963232158,0.1207729468599034,0.01673479041129351
ECORE_MULTICLASS_TOP_GPL_BDSHAP,0.5833333333333333,0.29957234475763905,0.925,0.14096735392208679,0.8583333333333332,0.1831584247229937,0.7888888888888888,0.18111025903003378
ECORE_MULTICLASS_RANK_GPL_BDSHAP,0.16666666666666666,0.2614881801842454,0.25,0.14617633655117154,0.5666666666666667,0.39368230209872906,0.3277777777777778,0.21103799903580642
ECORE_MULTICLASS_SIGN_GPL_BDSHAP,0.525,0.26025956799903194,0.925,0.14096735392208679,0.7999999999999999,0.1817922799472878,0.75,0.20463381929681124
ECORE_MULTICLASS_RANKSIGN_GPL_BDSHAP,0.14166666666666666,0.19810354425152074,0.25,0.14617633655117154,0.5083333333333333,0.3921414652583029,0.3,0.18837757592428858
ECORE_MULTICLASS_TOP_GPL_BDLIME,0.5833333333333333,0.2101417239853717,0.6333333333333333,0.14714761857543482,0.625,0.20237197423165085,0.6138888888888888,0.02678791878053602
ECORE_MULTICLASS_RANK_GPL_BDLIME,0.25,0.24749456812940612,0.4083333333333333,0.2199132177969832,0.21666666666666665,0.22072142786315221,0.2916666666666667,0.1024017143953709
ECORE_MULTICLASS_SIGN_GPL_BDLIME,0.4833333333333334,0.16794382455192633,0.6083333333333332,0.2119976885322572,0.5583333333333332,0.15811388300841897,0.5499999999999999,0.06291528696058947
ECORE_MULTICLASS_RANKSIGN_GPL_BDLIME,0.225,0.2186138668795344,0.4083333333333333,0.2199132177969832,0.20833333333333331,0.22248915591871998,0.2805555555555555,0.11097213530798988
ECORE_MULTICLASS_TOP_GPL_LIMESHAP,0.7,0.23630585231952222,0.6416666666666666,0.17520846354558814,0.6666666666666666,0.18490006540840973,0.6694444444444444,0.029265704869035392
ECORE_MULTICLASS_RANK_GPL_LIMESHAP,0.3583333333333333,0.23127911382143543,0.375,0.3219199879356338,0.475,0.2709853288151379,0.40277777777777773,0.06309898162000305
ECORE_MULTICLASS_SIGN_GPL_LIMESHAP,0.7,0.23630585231952222,0.625,0.1877669040497027,0.65,0.22582548792629895,0.6583333333333333,0.038188130791298645
ECORE_MULTICLASS_RANKSIGN_GPL_LIMESHAP,0.3583333333333333,0.23127911382143543,0.3583333333333333,0.33237040402250834,0.475,0.2709853288151379,0.39722222222222214,0.06735753140545636
ECORE_MULTICLASS_TOP_LIBRARY_BDSHAP,0.6808510638297872,0.09724332766526304,0.8581560283687941,0.1665895597152038,0.6737588652482271,0.048621663832631515,0.7375886524822696,0.1044746089550086
ECORE_MULTICLASS_RANK_LIBRARY_BDSHAP,0.4042553191489359,0.22985156113955293,0.2695035460992908,0.1650398557096408,0.24822695035460987,0.322041233492674,0.3073286052009455,0.08461243578332509
ECORE_MULTICLASS_SIGN_LIBRARY_BDSHAP,0.673758865248227,0.08482325193158752,0.8510638297872337,0.18135974123429224,0.6737588652482271,0.048621663832631515,0.7328605200945626,0.10236706900525253
ECORE_MULTICLASS_RANKSIGN_LIBRARY_BDSHAP,0.4042553191489359,0.22985156113955293,0.2624113475177305,0.1693432927113116,0.24822695035460987,0.322041233492674,0.3049645390070921,0.08628031957869803
ECORE_MULTICLASS_TOP_LIBRARY_BDLIME,0.5886524822695036,0.19918633954682205,0.5673758865248227,0.15408908924782297,0.35460992907801414,0.08236408271505515,0.5035460992907801,0.1294204793680473
ECORE_MULTICLASS_RANK_LIBRARY_BDLIME,0.11347517730496451,0.15965838749950254,0.02127659574468085,0.08236408271505515,0.21276595744680854,0.16189595148046865,0.11583924349881797,0.0957665678512014
ECORE_MULTICLASS_SIGN_LIBRARY_BDLIME,0.48226950354609927,0.2933111868970001,0.5673758865248227,0.15408908924782297,0.33333333333333337,5.611128922641538e-17,0.4609929078014184,0.11846307154957493
ECORE_MULTICLASS_RANKSIGN_LIBRARY_BDLIME,0.11347517730496451,0.15965838749950254,0.02127659574468085,0.08236408271505515,0.21276595744680854,0.16189595148046865,0.11583924349881797,0.0957665678512014
ECORE_MULTICLASS_TOP_LIBRARY_LIMESHAP,0.6453900709219859,0.24479366564486496,0.6666666666666667,0.17025130615174974,0.553191489361702,0.15965838749950254,0.6217494089834515,0.060318443603655285
ECORE_MULTICLASS_RANK_LIBRARY_LIMESHAP,0.19148936170212766,0.20553548362580573,0.3829787234042554,0.24055816137904018,0.13475177304964536,0.16535095844702064,0.2364066193853428,0.13006661658136098
ECORE_MULTICLASS_SIGN_LIBRARY_LIMESHAP,0.6028368794326242,0.3157561117201076,0.6595744680851064,0.1770581075247057,0.5460992907801417,0.16189595148046865,0.6028368794326241,0.05673758865248235
ECORE_MULTICLASS_RANKSIGN_LIBRARY_LIMESHAP,0.14893617021276595,0.20628424925175867,0.3829787234042554,0.24055816137904018,0.1276595744680851,0.16378953576435198,0.21985815602836878,0.14166655571232753
UML_MULTICLASS_TOP_Computerarchitecture_BDSHAP,0.7968253968253964,0.04387759354802626,0.615873015873016,0.09706391177873508,0.6063492063492064,0.05039526306789697,0.673015873015873,0.10732788256747253
UML_MULTICLASS_RANK_Computerarchitecture_BDSHAP,0.5777777777777778,0.11973686801784995,0.050793650793650794,0.13897437205495708,0.019047619047619046,0.07799326450890333,0.2158730158730159,0.3138204026986006
UML_MULTICLASS_SIGN_Computerarchitecture_BDSHAP,0.7936507936507933,0.05039526306789698,0.6095238095238096,0.09790430764895486,0.596825396825397,0.06712591434651838,0.6666666666666666,0.1101546131612535
UML_MULTICLASS_RANKSIGN_Computerarchitecture_BDSHAP,0.5746031746031748,0.12695980309791982,0.044444444444444446,0.1267175902163977,0.019047619047619046,0.07799326450890333,0.21269841269841275,0.313675855306184
UML_MULTICLASS_TOP_Computerarchitecture_BDLIME,0.3904761904761903,0.042933879074109185,0.5904761904761906,0.042933879074109164,0.39682539682539664,0.04387759354802626,0.4592592592592592,0.11368153053072379
UML_MULTICLASS_RANK_Computerarchitecture_BDLIME,0.0031746031746031746,0.02519763153394849,0.0,0.0,0.015873015873015872,0.06526953843263655,0.006349206349206348,0.00839921051131616
UML_MULTICLASS_SIGN_Computerarchitecture_BDLIME,0.3904761904761903,0.042933879074109185,0.5904761904761906,0.042933879074109164,0.2126984126984126,0.07069257270852089,0.3978835978835978,0.18899778995811972
UML_MULTICLASS_RANKSIGN_Computerarchitecture_BDLIME,0.0031746031746031746,0.02519763153394849,0.0,0.0,0.015873015873015872,0.06526953843263655,0.006349206349206348,0.00839921051131616
UML_MULTICLASS_TOP_Computerarchitecture_LIMESHAP,0.20317460317460306,0.025197631533948477,0.403174603174603,0.05670595908906714,0.6031746031746033,0.04387759354802627,0.4031746031746031,0.2000000000000001
